label,quantization,model_path,model_size_mb,n_ctx,n_threads,max_tokens,use_mmap,load_ms,total_infer_ms,avg_infer_ms,total_tokens,avg_tokens_per_answer,tokens_per_sec,ms_per_token,total_chars,chars_per_sec,rss_before_mb,rss_after_load_mb,peak_rss_mb,peak_delta_mb,infer_peak_rss_mb,infer_peak_delta_mb,accuracy,keyword_hits,keyword_total
优化前-Q8_0,Q8_0,D:\food-helper\models\qwen2.5-1.5b-instruct-q8_0.gguf,1806.8,2048,4,256,True,917.914,16779.366,2796.561,178,29.667,10.6083,94.2661,251,14.9588,35.605,213.527,1878.746,1843.141,1878.746,1665.219,0.5333,8,15
优化后-Q4_0,Q4_0,D:\food-helper\models\qwen2.5-1.5b-instruct-q4_0.gguf,1016.8,2048,4,256,True,802.748,19690.249,3281.708,238,39.667,12.0872,82.7321,343,17.4198,35.824,213.391,1207.82,1171.996,1207.82,994.43,0.6667,10,15
